# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		9968		3316		3196
1		9856		6526		3270
2		9808		9704		3268
3		9745		12864		3370
4		9641		15969		3381
5		9535		19076		3396
6		9559		22189		3447
7		9500		25279		3411
8		9557		28416		3464
9		9544		31505		3485
10		9411		34510		3407
11		9373		37580		3475
12		9392		40584		3468
13		9571		43607		3475
14		9581		46671		3528
15		9489		49774		3505
16		9437		52836		3439
17		9466		55931		3460
18		9453		58975		3466
19		9487		62056		3495
20		9510		65108		3489
21		9354		68197		3466
22		9441		71180		3499
23		9480		74285		3521
24		9526		77331		3497
25		9410		80416		3458
26		9327		83433		3476
27		9295		86465		3475
28		9312		89459		3480
29		9380		92471		3524
30		9389		95476		3549
31		9372		98535		3410
32		9468		101621		3496
33		9451		104687		3528
34		9420		107735		3481
35		9401		110731		3524
36		9315		113730		3529
37		9484		116783		3572
38		9325		119774		3534
39		9415		122815		3528
40		9345		125874		3530
41		9344		128923		3557
42		9396		131971		3553
43		9247		134990		3491
44		9360		137947		3547
45		9434		140987		3513
46		9423		143974		3515
47		9404		147036		3490
48		9415		150069		3526
49		9343		153119		3528
50		9444		156169		3525
51		9407		159250		3500
52		9365		162293		3541
53		9466		165302		3539
54		9351		168321		3536
55		9346		171341		3580
56		9369		174394		3536
57		9398		177453		3486
58		9394		180482		3522
59		9260		183484		3484
60		9223		186463		3465
61		9422		189463		3505
62		9203		192442		3498
63		9394		195500		3533
64		9390		198515		3459
65		9353		201617		3532
66		9404		204647		3502
67		9308		207670		3556
68		9338		210702		3549
69		9301		213734		3544
70		9454		216750		3487
71		9484		219790		3470
72		9387		222798		3508
73		9309		225838		3512
74		9383		228894		3542
75		9409		231935		3545
76		9446		234976		3512
77		9380		238019		3528
78		9321		241103		3538
79		9382		244167		3530
80		9311		247223		3524
81		9450		250287		3464
82		9371		253324		3519
83		9406		256320		3498
84		9446		259398		3535
85		9383		262522		3543
86		9457		265531		3513
87		9400		268482		3543
88		9359		271469		3499
89		9347		274460		3510
90		9410		277548		3559
91		9383		280559		3577
92		9420		283570		3534
93		9315		286598		3497
94		9221		289659		3542
95		9284		292676		3505
96		9244		295679		3522
97		9177		298673		3499
98		9234		301623		3531
99		9253		304697		3553
100		9322		307779		3575
101		9287		310821		3522
102		9366		313859		3575
103		9333		316847		3524
104		9369		319820		3528
105		9374		322831		3565
106		9412		325799		3513
107		9447		328819		3598
108		9322		331838		3532
109		9435		334829		3530
110		9458		337863		3525
111		9498		340892		3511
112		9414		343954		3505
113		9383		346944		3529
114		9364		350038		3492
115		9346		353122		3525
116		9395		356151		3511
117		9370		359214		3479
118		9298		362272		3503
119		9343		365331		3470
120		9318		368287		3552
121		9297		371313		3509
122		9227		374347		3555
123		9346		377375		3497
124		9367		380391		3497
125		9309		383483		3552
126		9292		386482		3526
127		9293		389454		3536
128		9319		392419		3552
129		9342		395387		3526
130		9304		398440		3561
131		9298		401419		3549
132		9250		404409		3516
133		9348		407409		3492
134		9419		410427		3559
135		9442		413463		3511
136		9290		416527		3497
137		9331		419561		3530
138		9324		422598		3534
139		9267		425543		3524
140		9389		428563		3509
141		9375		431598		3508
142		9383		434584		3484
143		9289		437598		3539
144		9390		440640		3542
145		9342		443633		3564
146		9312		446630		3534
147		9378		449643		3495
148		9306		452666		3469
149		9335		455734		3494
150		9360		458736		3497
151		9381		461768		3503
152		9341		464897		3544
153		9406		467929		3455
154		9453		470948		3499
155		9462		474048		3545
156		9401		477079		3571
157		9375		480092		3517
158		9342		483148		3510
159		9334		486178		3559
160		9321		489210		3560
161		9306		492192		3560
162		9370		495196		3522
163		9368		498214		3586
164		9362		501260		3525
165		9419		504317		3542
166		9381		507335		3541
167		9302		510398		3583
168		9340		513437		3593
169		9304		516440		3571
170		9273		519476		3523
171		9319		522491		3539
172		9422		525518		3502
173		9312		528535		3542
174		9447		531562		3523
175		9385		534653		3585
176		9322		537725		3561
177		9326		540750		3508
178		9324		543712		3572
179		9330		546721		3542
180		9350		549710		3509
181		9271		552680		3525
182		9311		555683		3554
183		9281		558647		3548
184		9320		561650		3559
185		9343		564697		3519
186		9321		567743		3462
187		9257		570802		3551
188		9310		573795		3584
189		9303		576832		3526
190		9369		579859		3557
191		9349		582885		3509
192		9374		585933		3552
193		9419		588960		3554
194		9444		591966		3530
195		9518		595015		3501
196		9560		598160		3576
197		9416		601262		3529
198		9384		604252		3533
199		9404		607296		3598
200		9345		610347		3518
201		9394		613388		3544
202		9383		616459		3526
203		9360		619551		3567
204		9456		622634		3529
205		9433		625663		3492
206		9407		628730		3524
207		9370		631741		3562
208		9302		634771		3546
209		9312		637811		3512
210		9250		640845		3555
211		9372		643891		3529
212		9309		646949		3522
213		9408		649996		3573
214		9443		653026		3539
215		9399		656095		3476
216		9365		659108		3536
217		9373		662154		3549
218		9396		665199		3557
219		9324		668262		3530
220		9312		671296		3526
221		9350		674313		3510
222		9343		677354		3485
223		9350		680385		3534
224		9420		683427		3483
225		9364		686468		3539
226		9435		689463		3492
227		9392		692457		3495
228		9286		695490		3538
229		9351		698479		3510
230		9311		701498		3508
231		9340		704504		3554
232		9470		707533		3509
233		9406		710593		3504
234		9319		713612		3511
235		9358		716696		3563
236		9460		719810		3448
237		9384		722888		3465
238		9308		725954		3556
239		9345		728996		3524
240		9221		731934		3499
241		9414		734962		3522
242		9432		737941		3527
243		9420		740985		3551
